Indicator,State,Time Period Start Date,Time Period End Date,Value
Symptoms of Depressive Disorder,Alabama,04/23/2020,05/05/2020,18.6
Symptoms of Depressive Disorder,Alaska,04/23/2020,05/05/2020,19.2
Symptoms of Depressive Disorder,Arizona,04/23/2020,05/05/2020,22.4
Symptoms of Depressive Disorder,Arkansas,04/23/2020,05/05/2020,26.6
Symptoms of Depressive Disorder,California,04/23/2020,05/05/2020,25.4
Symptoms of Depressive Disorder,Colorado,04/23/2020,05/05/2020,22.0
Symptoms of Depressive Disorder,Connecticut,04/23/2020,05/05/2020,24.4
Symptoms of Depressive Disorder,Delaware,04/23/2020,05/05/2020,21.1
Symptoms of Depressive Disorder,District of Columbia,04/23/2020,05/05/2020,26.4
Symptoms of Depressive Disorder,Florida,04/23/2020,05/05/2020,22.5
Symptoms of Depressive Disorder,Georgia,04/23/2020,05/05/2020,25.6
Symptoms of Depressive Disorder,Hawaii,04/23/2020,05/05/2020,20.0
Symptoms of Depressive Disorder,Idaho,04/23/2020,05/05/2020,20.6
Symptoms of Depressive Disorder,Illinois,04/23/2020,05/05/2020,23.3
Symptoms of Depressive Disorder,Indiana,04/23/2020,05/05/2020,26.4
Symptoms of Depressive Disorder,Iowa,04/23/2020,05/05/2020,16.5
Symptoms of Depressive Disorder,Kansas,04/23/2020,05/05/2020,22.1
Symptoms of Depressive Disorder,Kentucky,04/23/2020,05/05/2020,23.2
Symptoms of Depressive Disorder,Louisiana,04/23/2020,05/05/2020,28.1
Symptoms of Depressive Disorder,Maine,04/23/2020,05/05/2020,19.5
Symptoms of Depressive Disorder,Maryland,04/23/2020,05/05/2020,20.9
Symptoms of Depressive Disorder,Massachusetts,04/23/2020,05/05/2020,25.9
Symptoms of Depressive Disorder,Michigan,04/23/2020,05/05/2020,25.5
Symptoms of Depressive Disorder,Minnesota,04/23/2020,05/05/2020,20.4
Symptoms of Depressive Disorder,Mississippi,04/23/2020,05/05/2020,22.9
Symptoms of Depressive Disorder,Missouri,04/23/2020,05/05/2020,21.0
Symptoms of Depressive Disorder,Montana,04/23/2020,05/05/2020,18.2
Symptoms of Depressive Disorder,Nebraska,04/23/2020,05/05/2020,19.1
Symptoms of Depressive Disorder,Nevada,04/23/2020,05/05/2020,23.6
Symptoms of Depressive Disorder,New Hampshire,04/23/2020,05/05/2020,19.5
Symptoms of Depressive Disorder,New Jersey,04/23/2020,05/05/2020,23.6
Symptoms of Depressive Disorder,New Mexico,04/23/2020,05/05/2020,22.4
Symptoms of Depressive Disorder,New York,04/23/2020,05/05/2020,28.7
Symptoms of Depressive Disorder,North Carolina,04/23/2020,05/05/2020,21.1
Symptoms of Depressive Disorder,North Dakota,04/23/2020,05/05/2020,17.0
Symptoms of Depressive Disorder,Ohio,04/23/2020,05/05/2020,21.2
Symptoms of Depressive Disorder,Oklahoma,04/23/2020,05/05/2020,20.8
Symptoms of Depressive Disorder,Oregon,04/23/2020,05/05/2020,22.5
Symptoms of Depressive Disorder,Pennsylvania,04/23/2020,05/05/2020,24.7
Symptoms of Depressive Disorder,Rhode Island,04/23/2020,05/05/2020,24.5
Symptoms of Depressive Disorder,South Carolina,04/23/2020,05/05/2020,21.6
Symptoms of Depressive Disorder,South Dakota,04/23/2020,05/05/2020,17.5
Symptoms of Depressive Disorder,Tennessee,04/23/2020,05/05/2020,22.2
Symptoms of Depressive Disorder,Texas,04/23/2020,05/05/2020,24.4
Symptoms of Depressive Disorder,Utah,04/23/2020,05/05/2020,22.9
Symptoms of Depressive Disorder,Vermont,04/23/2020,05/05/2020,20.7
Symptoms of Depressive Disorder,Virginia,04/23/2020,05/05/2020,21.5
Symptoms of Depressive Disorder,Washington,04/23/2020,05/05/2020,22.1
Symptoms of Depressive Disorder,West Virginia,04/23/2020,05/05/2020,23.4
Symptoms of Depressive Disorder,Wisconsin,04/23/2020,05/05/2020,22.0
Symptoms of Depressive Disorder,Wyoming,04/23/2020,05/05/2020,18.9
Symptoms of Anxiety Disorder,Alabama,04/23/2020,05/05/2020,25.6
Symptoms of Anxiety Disorder,Alaska,04/23/2020,05/05/2020,27.7
Symptoms of Anxiety Disorder,Arizona,04/23/2020,05/05/2020,32.3
Symptoms of Anxiety Disorder,Arkansas,04/23/2020,05/05/2020,33.7
Symptoms of Anxiety Disorder,California,04/23/2020,05/05/2020,30.8
Symptoms of Anxiety Disorder,Colorado,04/23/2020,05/05/2020,32.6
Symptoms of Anxiety Disorder,Connecticut,04/23/2020,05/05/2020,34.9
Symptoms of Anxiety Disorder,Delaware,04/23/2020,05/05/2020,29.9
Symptoms of Anxiety Disorder,District of Columbia,04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,Florida,04/23/2020,05/05/2020,32.6
Symptoms of Anxiety Disorder,Georgia,04/23/2020,05/05/2020,31.9
Symptoms of Anxiety Disorder,Hawaii,04/23/2020,05/05/2020,32.3
Symptoms of Anxiety Disorder,Idaho,04/23/2020,05/05/2020,26.9
Symptoms of Anxiety Disorder,Illinois,04/23/2020,05/05/2020,31.1
Symptoms of Anxiety Disorder,Indiana,04/23/2020,05/05/2020,31.8
Symptoms of Anxiety Disorder,Iowa,04/23/2020,05/05/2020,22.5
Symptoms of Anxiety Disorder,Kansas,04/23/2020,05/05/2020,26.4
Symptoms of Anxiety Disorder,Kentucky,04/23/2020,05/05/2020,31.6
Symptoms of Anxiety Disorder,Louisiana,04/23/2020,05/05/2020,34.4
Symptoms of Anxiety Disorder,Maine,04/23/2020,05/05/2020,29.5
Symptoms of Anxiety Disorder,Maryland,04/23/2020,05/05/2020,27.7
Symptoms of Anxiety Disorder,Massachusetts,04/23/2020,05/05/2020,37.0
Symptoms of Anxiety Disorder,Michigan,04/23/2020,05/05/2020,32.5
Symptoms of Anxiety Disorder,Minnesota,04/23/2020,05/05/2020,28.5
Symptoms of Anxiety Disorder,Mississippi,04/23/2020,05/05/2020,30.3
Symptoms of Anxiety Disorder,Missouri,04/23/2020,05/05/2020,30.4
Symptoms of Anxiety Disorder,Montana,04/23/2020,05/05/2020,22.8
Symptoms of Anxiety Disorder,Nebraska,04/23/2020,05/05/2020,24.2
Symptoms of Anxiety Disorder,Nevada,04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,New Hampshire,04/23/2020,05/05/2020,31.3
Symptoms of Anxiety Disorder,New Jersey,04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,New Mexico,04/23/2020,05/05/2020,27.9
Symptoms of Anxiety Disorder,New York,04/23/2020,05/05/2020,36.1
Symptoms of Anxiety Disorder,North Carolina,04/23/2020,05/05/2020,30.0
Symptoms of Anxiety Disorder,North Dakota,04/23/2020,05/05/2020,21.7
Symptoms of Anxiety Disorder,Ohio,04/23/2020,05/05/2020,31.1
Symptoms of Anxiety Disorder,Oklahoma,04/23/2020,05/05/2020,28.6
Symptoms of Anxiety Disorder,Oregon,04/23/2020,05/05/2020,31.5
Symptoms of Anxiety Disorder,Pennsylvania,04/23/2020,05/05/2020,31.0
Symptoms of Anxiety Disorder,Rhode Island,04/23/2020,05/05/2020,27.6
Symptoms of Anxiety Disorder,South Carolina,04/23/2020,05/05/2020,27.8
Symptoms of Anxiety Disorder,South Dakota,04/23/2020,05/05/2020,22.1
Symptoms of Anxiety Disorder,Tennessee,04/23/2020,05/05/2020,28.2
Symptoms of Anxiety Disorder,Texas,04/23/2020,05/05/2020,29.7
Symptoms of Anxiety Disorder,Utah,04/23/2020,05/05/2020,28.9
Symptoms of Anxiety Disorder,Vermont,04/23/2020,05/05/2020,30.6
Symptoms of Anxiety Disorder,Virginia,04/23/2020,05/05/2020,28.5
Symptoms of Anxiety Disorder,Washington,04/23/2020,05/05/2020,30.6
Symptoms of Anxiety Disorder,West Virginia,04/23/2020,05/05/2020,28.8
Symptoms of Anxiety Disorder,Wisconsin,04/23/2020,05/05/2020,27.1
Symptoms of Anxiety Disorder,Wyoming,04/23/2020,05/05/2020,24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,04/23/2020,05/05/2020,30.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,04/23/2020,05/05/2020,31.5
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,04/23/2020,05/05/2020,36.4
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,04/23/2020,05/05/2020,38.0
Symptoms of Anxiety Disorder or Depressive Disorder,California,04/23/2020,05/05/2020,37.4
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,04/23/2020,05/05/2020,35.9
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,04/23/2020,05/05/2020,40.2
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,04/23/2020,05/05/2020,34.7
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,04/23/2020,05/05/2020,37.6
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,04/23/2020,05/05/2020,36.8
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,04/23/2020,05/05/2020,36.2
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,04/23/2020,05/05/2020,37.0
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,04/23/2020,05/05/2020,33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,04/23/2020,05/05/2020,36.6
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,04/23/2020,05/05/2020,37.8
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,04/23/2020,05/05/2020,28.2
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,04/23/2020,05/05/2020,32.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,04/23/2020,05/05/2020,36.4
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,04/23/2020,05/05/2020,38.9
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,04/23/2020,05/05/2020,34.3
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,04/23/2020,05/05/2020,32.9
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,04/23/2020,05/05/2020,40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,04/23/2020,05/05/2020,39.4
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,04/23/2020,05/05/2020,32.4
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,04/23/2020,05/05/2020,34.5
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,04/23/2020,05/05/2020,35.2
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,04/23/2020,05/05/2020,27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,04/23/2020,05/05/2020,28.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,04/23/2020,05/05/2020,34.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,04/23/2020,05/05/2020,34.8
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,04/23/2020,05/05/2020,37.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,04/23/2020,05/05/2020,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,New York,04/23/2020,05/05/2020,41.4
Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,04/23/2020,05/05/2020,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,04/23/2020,05/05/2020,27.7
Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,04/23/2020,05/05/2020,35.1
Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,04/23/2020,05/05/2020,34.1
Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,04/23/2020,05/05/2020,36.8
Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,04/23/2020,05/05/2020,35.1
Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,04/23/2020,05/05/2020,34.4
Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,04/23/2020,05/05/2020,33.3
Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,04/23/2020,05/05/2020,25.6
Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,04/23/2020,05/05/2020,33.4
Symptoms of Anxiety Disorder or Depressive Disorder,Texas,04/23/2020,05/05/2020,34.9
Symptoms of Anxiety Disorder or Depressive Disorder,Utah,04/23/2020,05/05/2020,34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,04/23/2020,05/05/2020,33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,04/23/2020,05/05/2020,33.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,04/23/2020,05/05/2020,35.0
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,04/23/2020,05/05/2020,34.3
Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,04/23/2020,05/05/2020,31.1
Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,04/23/2020,05/05/2020,31.0
Symptoms of Depressive Disorder,Alabama,05/07/2020,05/12/2020,22.5
Symptoms of Depressive Disorder,Alaska,05/07/2020,05/12/2020,25.1
Symptoms of Depressive Disorder,Arizona,05/07/2020,05/12/2020,25.3
Symptoms of Depressive Disorder,Arkansas,05/07/2020,05/12/2020,24.5
Symptoms of Depressive Disorder,California,05/07/2020,05/12/2020,22.8
Symptoms of Depressive Disorder,Colorado,05/07/2020,05/12/2020,23.6
Symptoms of Depressive Disorder,Connecticut,05/07/2020,05/12/2020,21.5
Symptoms of Depressive Disorder,Delaware,05/07/2020,05/12/2020,23.3
Symptoms of Depressive Disorder,District of Columbia,05/07/2020,05/12/2020,30.3
Symptoms of Depressive Disorder,Florida,05/07/2020,05/12/2020,24.8
Symptoms of Depressive Disorder,Georgia,05/07/2020,05/12/2020,25.6
Symptoms of Depressive Disorder,Hawaii,05/07/2020,05/12/2020,16.8
Symptoms of Depressive Disorder,Idaho,05/07/2020,05/12/2020,17.0
Symptoms of Depressive Disorder,Illinois,05/07/2020,05/12/2020,29.2
Symptoms of Depressive Disorder,Indiana,05/07/2020,05/12/2020,19.9
Symptoms of Depressive Disorder,Iowa,05/07/2020,05/12/2020,18.1
Symptoms of Depressive Disorder,Kansas,05/07/2020,05/12/2020,16.7
Symptoms of Depressive Disorder,Kentucky,05/07/2020,05/12/2020,25.6
Symptoms of Depressive Disorder,Louisiana,05/07/2020,05/12/2020,30.0
Symptoms of Depressive Disorder,Maine,05/07/2020,05/12/2020,17.1
Symptoms of Depressive Disorder,Maryland,05/07/2020,05/12/2020,24.6
Symptoms of Depressive Disorder,Massachusetts,05/07/2020,05/12/2020,18.9
Symptoms of Depressive Disorder,Michigan,05/07/2020,05/12/2020,23.4
Symptoms of Depressive Disorder,Minnesota,05/07/2020,05/12/2020,18.4
Symptoms of Depressive Disorder,Mississippi,05/07/2020,05/12/2020,35.5
Symptoms of Depressive Disorder,Missouri,05/07/2020,05/12/2020,24.1
Symptoms of Depressive Disorder,Montana,05/07/2020,05/12/2020,20.8
Symptoms of Depressive Disorder,Nebraska,05/07/2020,05/12/2020,21.6
Symptoms of Depressive Disorder,Nevada,05/07/2020,05/12/2020,31.2
Symptoms of Depressive Disorder,New Hampshire,05/07/2020,05/12/2020,23.3
Symptoms of Depressive Disorder,New Jersey,05/07/2020,05/12/2020,26.4
Symptoms of Depressive Disorder,New Mexico,05/07/2020,05/12/2020,29.0
Symptoms of Depressive Disorder,New York,05/07/2020,05/12/2020,29.2
Symptoms of Depressive Disorder,North Carolina,05/07/2020,05/12/2020,20.2
Symptoms of Depressive Disorder,North Dakota,05/07/2020,05/12/2020,20.2
Symptoms of Depressive Disorder,Ohio,05/07/2020,05/12/2020,26.4
Symptoms of Depressive Disorder,Oklahoma,05/07/2020,05/12/2020,20.7
Symptoms of Depressive Disorder,Oregon,05/07/2020,05/12/2020,17.8
Symptoms of Depressive Disorder,Pennsylvania,05/07/2020,05/12/2020,23.0
Symptoms of Depressive Disorder,Rhode Island,05/07/2020,05/12/2020,22.8
Symptoms of Depressive Disorder,South Carolina,05/07/2020,05/12/2020,25.6
Symptoms of Depressive Disorder,South Dakota,05/07/2020,05/12/2020,20.5
Symptoms of Depressive Disorder,Tennessee,05/07/2020,05/12/2020,21.7
Symptoms of Depressive Disorder,Texas,05/07/2020,05/12/2020,25.7
Symptoms of Depressive Disorder,Utah,05/07/2020,05/12/2020,22.6
Symptoms of Depressive Disorder,Vermont,05/07/2020,05/12/2020,26.8
Symptoms of Depressive Disorder,Virginia,05/07/2020,05/12/2020,20.6
Symptoms of Depressive Disorder,Washington,05/07/2020,05/12/2020,22.9
Symptoms of Depressive Disorder,West Virginia,05/07/2020,05/12/2020,31.8
Symptoms of Depressive Disorder,Wisconsin,05/07/2020,05/12/2020,22.9
Symptoms of Depressive Disorder,Wyoming,05/07/2020,05/12/2020,18.6
Symptoms of Anxiety Disorder,Alabama,05/07/2020,05/12/2020,27.2
Symptoms of Anxiety Disorder,Alaska,05/07/2020,05/12/2020,27.4
Symptoms of Anxiety Disorder,Arizona,05/07/2020,05/12/2020,34.2
Symptoms of Anxiety Disorder,Arkansas,05/07/2020,05/12/2020,29.1
Symptoms of Anxiety Disorder,California,05/07/2020,05/12/2020,31.4
Symptoms of Anxiety Disorder,Colorado,05/07/2020,05/12/2020,29.7
Symptoms of Anxiety Disorder,Connecticut,05/07/2020,05/12/2020,29.1
Symptoms of Anxiety Disorder,Delaware,05/07/2020,05/12/2020,24.9
Symptoms of Anxiety Disorder,District of Columbia,05/07/2020,05/12/2020,36.2
Symptoms of Anxiety Disorder,Florida,05/07/2020,05/12/2020,27.6
Symptoms of Anxiety Disorder,Georgia,05/07/2020,05/12/2020,29.5
Symptoms of Anxiety Disorder,Hawaii,05/07/2020,05/12/2020,20.4
Symptoms of Anxiety Disorder,Idaho,05/07/2020,05/12/2020,25.0
Symptoms of Anxiety Disorder,Illinois,05/07/2020,05/12/2020,35.7
Symptoms of Anxiety Disorder,Indiana,05/07/2020,05/12/2020,31.5
Symptoms of Anxiety Disorder,Iowa,05/07/2020,05/12/2020,20.3
Symptoms of Anxiety Disorder,Kansas,05/07/2020,05/12/2020,25.1
Symptoms of Anxiety Disorder,Kentucky,05/07/2020,05/12/2020,29.6
Symptoms of Anxiety Disorder,Louisiana,05/07/2020,05/12/2020,34.6
Symptoms of Anxiety Disorder,Maine,05/07/2020,05/12/2020,28.9
Symptoms of Anxiety Disorder,Maryland,05/07/2020,05/12/2020,30.1
Symptoms of Anxiety Disorder,Massachusetts,05/07/2020,05/12/2020,28.7
Symptoms of Anxiety Disorder,Michigan,05/07/2020,05/12/2020,27.0
Symptoms of Anxiety Disorder,Minnesota,05/07/2020,05/12/2020,22.9
Symptoms of Anxiety Disorder,Mississippi,05/07/2020,05/12/2020,38.3
Symptoms of Anxiety Disorder,Missouri,05/07/2020,05/12/2020,37.8
Symptoms of Anxiety Disorder,Montana,05/07/2020,05/12/2020,24.9
Symptoms of Anxiety Disorder,Nebraska,05/07/2020,05/12/2020,29.6
Symptoms of Anxiety Disorder,Nevada,05/07/2020,05/12/2020,34.0
Symptoms of Anxiety Disorder,New Hampshire,05/07/2020,05/12/2020,30.4
Symptoms of Anxiety Disorder,New Jersey,05/07/2020,05/12/2020,36.3
Symptoms of Anxiety Disorder,New Mexico,05/07/2020,05/12/2020,30.2
Symptoms of Anxiety Disorder,New York,05/07/2020,05/12/2020,33.0
Symptoms of Anxiety Disorder,North Carolina,05/07/2020,05/12/2020,25.9
Symptoms of Anxiety Disorder,North Dakota,05/07/2020,05/12/2020,25.4
Symptoms of Anxiety Disorder,Ohio,05/07/2020,05/12/2020,26.4
Symptoms of Anxiety Disorder,Oklahoma,05/07/2020,05/12/2020,27.2
Symptoms of Anxiety Disorder,Oregon,05/07/2020,05/12/2020,26.2
Symptoms of Anxiety Disorder,Pennsylvania,05/07/2020,05/12/2020,28.4
Symptoms of Anxiety Disorder,Rhode Island,05/07/2020,05/12/2020,26.9
Symptoms of Anxiety Disorder,South Carolina,05/07/2020,05/12/2020,27.9
Symptoms of Anxiety Disorder,South Dakota,05/07/2020,05/12/2020,26.1
Symptoms of Anxiety Disorder,Tennessee,05/07/2020,05/12/2020,29.6
Symptoms of Anxiety Disorder,Texas,05/07/2020,05/12/2020,32.4
Symptoms of Anxiety Disorder,Utah,05/07/2020,05/12/2020,26.0
Symptoms of Anxiety Disorder,Vermont,05/07/2020,05/12/2020,31.8
Symptoms of Anxiety Disorder,Virginia,05/07/2020,05/12/2020,26.8
Symptoms of Anxiety Disorder,Washington,05/07/2020,05/12/2020,28.5
Symptoms of Anxiety Disorder,West Virginia,05/07/2020,05/12/2020,34.6
Symptoms of Anxiety Disorder,Wisconsin,05/07/2020,05/12/2020,25.6
Symptoms of Anxiety Disorder,Wyoming,05/07/2020,05/12/2020,22.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,05/07/2020,05/12/2020,30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,05/07/2020,05/12/2020,35.7
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,05/07/2020,05/12/2020,38.4
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,05/07/2020,05/12/2020,33.0
Symptoms of Anxiety Disorder or Depressive Disorder,California,05/07/2020,05/12/2020,34.4
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,05/07/2020,05/12/2020,32.2
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,05/07/2020,05/12/2020,36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,05/07/2020,05/12/2020,31.6
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,05/07/2020,05/12/2020,40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,05/07/2020,05/12/2020,33.6
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,05/07/2020,05/12/2020,34.3
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,05/07/2020,05/12/2020,27.1
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,05/07/2020,05/12/2020,29.2
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,05/07/2020,05/12/2020,41.8
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,05/07/2020,05/12/2020,34.9
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,05/07/2020,05/12/2020,26.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,05/07/2020,05/12/2020,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,05/07/2020,05/12/2020,37.7
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,05/07/2020,05/12/2020,42.8
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,05/07/2020,05/12/2020,32.9
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,05/07/2020,05/12/2020,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,05/07/2020,05/12/2020,31.0
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,05/07/2020,05/12/2020,33.4
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,05/07/2020,05/12/2020,27.2
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,05/07/2020,05/12/2020,48.4
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,05/07/2020,05/12/2020,41.3
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,05/07/2020,05/12/2020,27.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,05/07/2020,05/12/2020,33.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,05/07/2020,05/12/2020,38.1
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,05/07/2020,05/12/2020,35.0
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,05/07/2020,05/12/2020,39.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,05/07/2020,05/12/2020,39.8
Symptoms of Anxiety Disorder or Depressive Disorder,New York,05/07/2020,05/12/2020,36.9
Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,05/07/2020,05/12/2020,28.1
Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,05/07/2020,05/12/2020,28.6
Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,05/07/2020,05/12/2020,32.8
Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,05/07/2020,05/12/2020,31.0
Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,05/07/2020,05/12/2020,29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,05/07/2020,05/12/2020,32.0
Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,05/07/2020,05/12/2020,33.8
Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,05/07/2020,05/12/2020,33.1
Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,05/07/2020,05/12/2020,29.8
Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,05/07/2020,05/12/2020,34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Texas,05/07/2020,05/12/2020,35.9
Symptoms of Anxiety Disorder or Depressive Disorder,Utah,05/07/2020,05/12/2020,30.4
Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,05/07/2020,05/12/2020,35.7
Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,05/07/2020,05/12/2020,30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,05/07/2020,05/12/2020,35.0
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,05/07/2020,05/12/2020,39.0
Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,05/07/2020,05/12/2020,29.7
Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,05/07/2020,05/12/2020,27.9
Symptoms of Depressive Disorder,Alabama,05/14/2020,05/19/2020,19.6
Symptoms of Depressive Disorder,Alaska,05/14/2020,05/19/2020,23.6
Symptoms of Depressive Disorder,Arizona,05/14/2020,05/19/2020,20.0
Symptoms of Depressive Disorder,Arkansas,05/14/2020,05/19/2020,28.9
Symptoms of Depressive Disorder,California,05/14/2020,05/19/2020,28.7
Symptoms of Depressive Disorder,Colorado,05/14/2020,05/19/2020,23.7
Symptoms of Depressive Disorder,Connecticut,05/14/2020,05/19/2020,20.2
Symptoms of Depressive Disorder,Delaware,05/14/2020,05/19/2020,21.8
Symptoms of Depressive Disorder,District of Columbia,05/14/2020,05/19/2020,25.9
Symptoms of Depressive Disorder,Florida,05/14/2020,05/19/2020,24.3
Symptoms of Depressive Disorder,Georgia,05/14/2020,05/19/2020,24.8
Symptoms of Depressive Disorder,Hawaii,05/14/2020,05/19/2020,21.3
Symptoms of Depressive Disorder,Idaho,05/14/2020,05/19/2020,18.1
Symptoms of Depressive Disorder,Illinois,05/14/2020,05/19/2020,24.3
Symptoms of Depressive Disorder,Indiana,05/14/2020,05/19/2020,24.5
Symptoms of Depressive Disorder,Iowa,05/14/2020,05/19/2020,18.6
Symptoms of Depressive Disorder,Kansas,05/14/2020,05/19/2020,21.2
Symptoms of Depressive Disorder,Kentucky,05/14/2020,05/19/2020,22.8
Symptoms of Depressive Disorder,Louisiana,05/14/2020,05/19/2020,26.5
Symptoms of Depressive Disorder,Maine,05/14/2020,05/19/2020,25.6
Symptoms of Depressive Disorder,Maryland,05/14/2020,05/19/2020,20.8
Symptoms of Depressive Disorder,Massachusetts,05/14/2020,05/19/2020,22.8
Symptoms of Depressive Disorder,Michigan,05/14/2020,05/19/2020,27.9
Symptoms of Depressive Disorder,Minnesota,05/14/2020,05/19/2020,20.0
Symptoms of Depressive Disorder,Mississippi,05/14/2020,05/19/2020,36.4
Symptoms of Depressive Disorder,Missouri,05/14/2020,05/19/2020,24.3
Symptoms of Depressive Disorder,Montana,05/14/2020,05/19/2020,21.1
Symptoms of Depressive Disorder,Nebraska,05/14/2020,05/19/2020,20.4
