Indicator,State,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,Alabama,04/23/2020,05/05/2020,18.6,14.6,23.1,14.6 - 23.1,16.5 - 20.7
Symptoms of Depressive Disorder,Alaska,04/23/2020,05/05/2020,19.2,16.8,21.8,16.8 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,Arizona,04/23/2020,05/05/2020,22.4,19.4,25.5,19.4 - 25.5,22.2 - 24.0
Symptoms of Depressive Disorder,Arkansas,04/23/2020,05/05/2020,26.6,22.3,31.3,22.3 - 31.3,24.1 - 28.7
Symptoms of Depressive Disorder,California,04/23/2020,05/05/2020,25.4,22.5,28.6,22.5 - 28.6,24.1 - 28.7
Symptoms of Depressive Disorder,Colorado,04/23/2020,05/05/2020,22.0,19.4,24.9,19.4 - 24.9,20.8 - 22.1
Symptoms of Depressive Disorder,Connecticut,04/23/2020,05/05/2020,24.4,20.1,29.1,20.1 - 29.1,24.1 - 28.7
Symptoms of Depressive Disorder,Delaware,04/23/2020,05/05/2020,21.1,17.6,24.9,17.6 - 24.9,20.8 - 22.1
Symptoms of Depressive Disorder,District of Columbia,04/23/2020,05/05/2020,26.4,22.1,31.1,22.1 - 31.1,24.1 - 28.7
Symptoms of Depressive Disorder,Florida,04/23/2020,05/05/2020,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,Georgia,04/23/2020,05/05/2020,25.6,21.4,30.2,21.4 - 30.2,24.1 - 28.7
Symptoms of Depressive Disorder,Hawaii,04/23/2020,05/05/2020,20.0,14.9,26.1,14.9 - 26.1,16.5 - 20.7
Symptoms of Depressive Disorder,Idaho,04/23/2020,05/05/2020,20.6,17.3,24.1,17.3 - 24.1,16.5 - 20.7
Symptoms of Depressive Disorder,Illinois,04/23/2020,05/05/2020,23.3,19.6,27.2,19.6 - 27.2,22.2 - 24.0
Symptoms of Depressive Disorder,Indiana,04/23/2020,05/05/2020,26.4,22.1,31.0,22.1 - 31.0,24.1 - 28.7
Symptoms of Depressive Disorder,Iowa,04/23/2020,05/05/2020,16.5,13.7,19.6,13.7 - 19.6,16.5 - 20.7
Symptoms of Depressive Disorder,Kansas,04/23/2020,05/05/2020,22.1,18.3,26.4,18.3 - 26.4,20.8 - 22.1
Symptoms of Depressive Disorder,Kentucky,04/23/2020,05/05/2020,23.2,19.4,27.4,19.4 - 27.4,22.2 - 24.0
Symptoms of Depressive Disorder,Louisiana,04/23/2020,05/05/2020,28.1,24.1,32.4,24.1 - 32.4,24.1 - 28.7
Symptoms of Depressive Disorder,Maine,04/23/2020,05/05/2020,19.5,16.0,23.5,16.0 - 23.5,16.5 - 20.7
Symptoms of Depressive Disorder,Maryland,04/23/2020,05/05/2020,20.9,17.9,24.1,17.9 - 24.1,20.8 - 22.1
Symptoms of Depressive Disorder,Massachusetts,04/23/2020,05/05/2020,25.9,22.7,29.4,22.7 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,Michigan,04/23/2020,05/05/2020,25.5,22.0,29.4,22.0 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,Minnesota,04/23/2020,05/05/2020,20.4,17.7,23.4,17.7 - 23.4,16.5 - 20.7
Symptoms of Depressive Disorder,Mississippi,04/23/2020,05/05/2020,22.9,18.7,27.6,18.7 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,Missouri,04/23/2020,05/05/2020,21.0,17.9,24.5,17.9 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,Montana,04/23/2020,05/05/2020,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,Nebraska,04/23/2020,05/05/2020,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7
Symptoms of Depressive Disorder,Nevada,04/23/2020,05/05/2020,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
Symptoms of Depressive Disorder,New Hampshire,04/23/2020,05/05/2020,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,New Jersey,04/23/2020,05/05/2020,23.6,20.4,27.0,20.4 - 27.0,22.2 - 24.0
Symptoms of Depressive Disorder,New Mexico,04/23/2020,05/05/2020,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0
Symptoms of Depressive Disorder,New York,04/23/2020,05/05/2020,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7
Symptoms of Depressive Disorder,North Carolina,04/23/2020,05/05/2020,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1
Symptoms of Depressive Disorder,North Dakota,04/23/2020,05/05/2020,17.0,13.7,20.7,13.7 - 20.7,16.5 - 20.7
Symptoms of Depressive Disorder,Ohio,04/23/2020,05/05/2020,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,Oklahoma,04/23/2020,05/05/2020,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,Oregon,04/23/2020,05/05/2020,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,Pennsylvania,04/23/2020,05/05/2020,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7
Symptoms of Depressive Disorder,Rhode Island,04/23/2020,05/05/2020,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7
Symptoms of Depressive Disorder,South Carolina,04/23/2020,05/05/2020,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,South Dakota,04/23/2020,05/05/2020,17.5,13.0,22.7,13.0 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,Tennessee,04/23/2020,05/05/2020,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0
Symptoms of Depressive Disorder,Texas,04/23/2020,05/05/2020,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7
Symptoms of Depressive Disorder,Utah,04/23/2020,05/05/2020,22.9,20.0,26.0,20.0 - 26.0,22.2 - 24.0
Symptoms of Depressive Disorder,Vermont,04/23/2020,05/05/2020,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7
Symptoms of Depressive Disorder,Virginia,04/23/2020,05/05/2020,21.5,18.0,25.3,18.0 - 25.3,20.8 - 22.1
Symptoms of Depressive Disorder,Washington,04/23/2020,05/05/2020,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1
Symptoms of Depressive Disorder,West Virginia,04/23/2020,05/05/2020,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,Wisconsin,04/23/2020,05/05/2020,22.0,19.2,25.0,19.2 - 25.0,20.8 - 22.1
Symptoms of Depressive Disorder,Wyoming,04/23/2020,05/05/2020,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7
Symptoms of Anxiety Disorder,Alabama,04/23/2020,05/05/2020,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8
Symptoms of Anxiety Disorder,Alaska,04/23/2020,05/05/2020,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8
Symptoms of Anxiety Disorder,Arizona,04/23/2020,05/05/2020,32.3,28.0,36.8,28.0 - 36.8,31.7 - 37.0
Symptoms of Anxiety Disorder,Arkansas,04/23/2020,05/05/2020,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0
Symptoms of Anxiety Disorder,California,04/23/2020,05/05/2020,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6
Symptoms of Anxiety Disorder,Colorado,04/23/2020,05/05/2020,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0
Symptoms of Anxiety Disorder,Connecticut,04/23/2020,05/05/2020,34.9,30.0,40.0,30.0 - 40.0,31.7 - 37.0
Symptoms of Anxiety Disorder,Delaware,04/23/2020,05/05/2020,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3
Symptoms of Anxiety Disorder,District of Columbia,04/23/2020,05/05/2020,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,Florida,04/23/2020,05/05/2020,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0
Symptoms of Anxiety Disorder,Georgia,04/23/2020,05/05/2020,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0
Symptoms of Anxiety Disorder,Hawaii,04/23/2020,05/05/2020,32.3,27.1,37.8,27.1 - 37.8,31.7 - 37.0
Symptoms of Anxiety Disorder,Idaho,04/23/2020,05/05/2020,26.9,23.7,30.2,23.7 - 30.2,21.7 - 27.8
Symptoms of Anxiety Disorder,Illinois,04/23/2020,05/05/2020,31.1,27.0,35.4,27.0 - 35.4,30.4 - 31.6
Symptoms of Anxiety Disorder,Indiana,04/23/2020,05/05/2020,31.8,27.5,36.4,27.5 - 36.4,31.7 - 37.0
Symptoms of Anxiety Disorder,Iowa,04/23/2020,05/05/2020,22.5,19.0,26.2,19.0 - 26.2,21.7 - 27.8
Symptoms of Anxiety Disorder,Kansas,04/23/2020,05/05/2020,26.4,22.0,31.2,22.0 - 31.2,21.7 - 27.8
Symptoms of Anxiety Disorder,Kentucky,04/23/2020,05/05/2020,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6
Symptoms of Anxiety Disorder,Louisiana,04/23/2020,05/05/2020,34.4,29.7,39.3,29.7 - 39.3,31.7 - 37.0
Symptoms of Anxiety Disorder,Maine,04/23/2020,05/05/2020,29.5,25.9,33.3,25.9 - 33.3,27.9 - 30.3
Symptoms of Anxiety Disorder,Maryland,04/23/2020,05/05/2020,27.7,24.6,31.1,24.6 - 31.1,21.7 - 27.8
Symptoms of Anxiety Disorder,Massachusetts,04/23/2020,05/05/2020,37.0,33.3,40.7,33.3 - 40.7,31.7 - 37.0
Symptoms of Anxiety Disorder,Michigan,04/23/2020,05/05/2020,32.5,28.6,36.7,28.6 - 36.7,31.7 - 37.0
Symptoms of Anxiety Disorder,Minnesota,04/23/2020,05/05/2020,28.5,25.2,32.0,25.2 - 32.0,27.9 - 30.3
Symptoms of Anxiety Disorder,Mississippi,04/23/2020,05/05/2020,30.3,24.7,36.3,24.7 - 36.3,27.9 - 30.3
Symptoms of Anxiety Disorder,Missouri,04/23/2020,05/05/2020,30.4,25.8,35.4,25.8 - 35.4,30.4 - 31.6
Symptoms of Anxiety Disorder,Montana,04/23/2020,05/05/2020,22.8,19.6,26.3,19.6 - 26.3,21.7 - 27.8
Symptoms of Anxiety Disorder,Nebraska,04/23/2020,05/05/2020,24.2,20.6,28.0,20.6 - 28.0,21.7 - 27.8
Symptoms of Anxiety Disorder,Nevada,04/23/2020,05/05/2020,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6
Symptoms of Anxiety Disorder,New Hampshire,04/23/2020,05/05/2020,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6
Symptoms of Anxiety Disorder,New Jersey,04/23/2020,05/05/2020,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6
Symptoms of Anxiety Disorder,New Mexico,04/23/2020,05/05/2020,27.9,23.9,32.2,23.9 - 32.2,27.9 - 30.3
Symptoms of Anxiety Disorder,New York,04/23/2020,05/05/2020,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0
Symptoms of Anxiety Disorder,North Carolina,04/23/2020,05/05/2020,30.0,25.1,35.3,25.1 - 35.3,27.9 - 30.3
Symptoms of Anxiety Disorder,North Dakota,04/23/2020,05/05/2020,21.7,18.3,25.5,18.3 - 25.5,21.7 - 27.8
Symptoms of Anxiety Disorder,Ohio,04/23/2020,05/05/2020,31.1,27.4,35.1,27.4 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,Oklahoma,04/23/2020,05/05/2020,28.6,24.9,32.4,24.9 - 32.4,27.9 - 30.3
Symptoms of Anxiety Disorder,Oregon,04/23/2020,05/05/2020,31.5,28.0,35.1,28.0 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,Pennsylvania,04/23/2020,05/05/2020,31.0,27.5,34.7,27.5 - 34.7,30.4 - 31.6
Symptoms of Anxiety Disorder,Rhode Island,04/23/2020,05/05/2020,27.6,23.4,32.0,23.4 - 32.0,21.7 - 27.8
Symptoms of Anxiety Disorder,South Carolina,04/23/2020,05/05/2020,27.8,24.0,31.7,24.0 - 31.7,21.7 - 27.8
Symptoms of Anxiety Disorder,South Dakota,04/23/2020,05/05/2020,22.1,17.3,27.6,17.3 - 27.6,21.7 - 27.8
Symptoms of Anxiety Disorder,Tennessee,04/23/2020,05/05/2020,28.2,22.8,34.0,22.8 - 34.0,27.9 - 30.3
Symptoms of Anxiety Disorder,Texas,04/23/2020,05/05/2020,29.7,25.9,33.7,25.9 - 33.7,27.9 - 30.3
Symptoms of Anxiety Disorder,Utah,04/23/2020,05/05/2020,28.9,24.9,33.1,24.9 - 33.1,27.9 - 30.3
Symptoms of Anxiety Disorder,Vermont,04/23/2020,05/05/2020,30.6,25.6,35.8,25.6 - 35.8,30.4 - 31.6
Symptoms of Anxiety Disorder,Virginia,04/23/2020,05/05/2020,28.5,25.4,31.8,25.4 - 31.8,27.9 - 30.3
Symptoms of Anxiety Disorder,Washington,04/23/2020,05/05/2020,30.6,27.7,33.7,27.7 - 33.7,30.4 - 31.6
Symptoms of Anxiety Disorder,West Virginia,04/23/2020,05/05/2020,28.8,24.0,33.9,24.0 - 33.9,27.9 - 30.3
Symptoms of Anxiety Disorder,Wisconsin,04/23/2020,05/05/2020,27.1,24.1,30.2,24.1 - 30.2,21.7 - 27.8
Symptoms of Anxiety Disorder,Wyoming,04/23/2020,05/05/2020,24.9,21.0,29.2,21.0 - 29.2,21.7 - 27.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,04/23/2020,05/05/2020,30.3,24.8,36.2,24.8 - 36.2,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,04/23/2020,05/05/2020,31.5,28.8,34.4,28.8 - 34.4,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,04/23/2020,05/05/2020,36.4,32.3,40.7,32.3 - 40.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,04/23/2020,05/05/2020,38.0,33.1,43.1,33.1 - 43.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,California,04/23/2020,05/05/2020,37.4,34.2,40.6,34.2 - 40.6,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,04/23/2020,05/05/2020,35.9,32.3,39.7,32.3 - 39.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,04/23/2020,05/05/2020,40.2,35.3,45.3,35.3 - 45.3,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,04/23/2020,05/05/2020,34.7,30.4,39.3,30.4 - 39.3,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,04/23/2020,05/05/2020,37.6,34.1,41.3,34.1 - 41.3,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,04/23/2020,05/05/2020,36.8,33.9,39.8,33.9 - 39.8,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,04/23/2020,05/05/2020,36.2,31.8,40.7,31.8 - 40.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,04/23/2020,05/05/2020,37.0,31.4,42.9,31.4 - 42.9,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,04/23/2020,05/05/2020,33.3,29.9,36.8,29.9 - 36.8,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,04/23/2020,05/05/2020,36.6,32.7,40.7,32.7 - 40.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,04/23/2020,05/05/2020,37.8,33.5,42.4,33.5 - 42.4,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,04/23/2020,05/05/2020,28.2,24.6,32.1,24.6 - 32.1,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,04/23/2020,05/05/2020,32.5,28.4,36.9,28.4 - 36.9,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,04/23/2020,05/05/2020,36.4,32.5,40.4,32.5 - 40.4,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,04/23/2020,05/05/2020,38.9,34.3,43.7,34.3 - 43.7,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,04/23/2020,05/05/2020,34.3,30.6,38.1,30.6 - 38.1,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,04/23/2020,05/05/2020,32.9,29.3,36.6,29.3 - 36.6,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,04/23/2020,05/05/2020,40.6,36.9,44.4,36.9 - 44.4,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,04/23/2020,05/05/2020,39.4,35.8,43.1,35.8 - 43.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,04/23/2020,05/05/2020,32.4,29.1,35.9,29.1 - 35.9,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,04/23/2020,05/05/2020,34.5,28.8,40.5,28.8 - 40.5,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,04/23/2020,05/05/2020,35.2,30.2,40.4,30.2 - 40.4,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,04/23/2020,05/05/2020,27.3,23.5,31.4,23.5 - 31.4,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,04/23/2020,05/05/2020,28.6,24.9,32.7,24.9 - 32.7,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,04/23/2020,05/05/2020,34.8,30.4,39.4,30.4 - 39.4,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,04/23/2020,05/05/2020,34.8,30.6,39.2,30.6 - 39.2,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,04/23/2020,05/05/2020,37.6,34.2,41.1,34.2 - 41.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,04/23/2020,05/05/2020,34.6,29.9,39.7,29.9 - 39.7,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,New York,04/23/2020,05/05/2020,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,04/23/2020,05/05/2020,34.6,29.4,40.1,29.4 - 40.1,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,04/23/2020,05/05/2020,27.7,23.8,31.9,23.8 - 31.9,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,04/23/2020,05/05/2020,35.1,31.7,38.7,31.7 - 38.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,04/23/2020,05/05/2020,34.1,29.6,38.8,29.6 - 38.8,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,04/23/2020,05/05/2020,36.8,33.2,40.6,33.2 - 40.6,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,04/23/2020,05/05/2020,35.1,31.7,38.7,31.7 - 38.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,04/23/2020,05/05/2020,34.4,29.9,39.1,29.9 - 39.1,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,04/23/2020,05/05/2020,33.3,29.4,37.4,29.4 - 37.4,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,04/23/2020,05/05/2020,25.6,20.5,31.1,20.5 - 31.1,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,04/23/2020,05/05/2020,33.4,28.0,39.3,28.0 - 39.3,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Texas,04/23/2020,05/05/2020,34.9,30.8,39.2,30.8 - 39.2,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Utah,04/23/2020,05/05/2020,34.7,31.1,38.4,31.1 - 38.4,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,04/23/2020,05/05/2020,33.9,28.5,39.6,28.5 - 39.6,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,04/23/2020,05/05/2020,33.7,30.3,37.2,30.3 - 37.2,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,04/23/2020,05/05/2020,35.0,32.2,37.8,32.2 - 37.8,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,04/23/2020,05/05/2020,34.3,29.5,39.3,29.5 - 39.3,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,04/23/2020,05/05/2020,31.1,28.1,34.3,28.1 - 34.3,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,04/23/2020,05/05/2020,31.0,26.4,35.8,26.4 - 35.8,25.6 - 33.3
Symptoms of Depressive Disorder,Alabama,05/07/2020,05/12/2020,22.5,16.4,29.5,16.4 - 29.5,20.7 - 23.0
Symptoms of Depressive Disorder,Alaska,05/07/2020,05/12/2020,25.1,20.3,30.4,20.3 - 30.4,23.1 - 25.6
Symptoms of Depressive Disorder,Arizona,05/07/2020,05/12/2020,25.3,19.7,31.7,19.7 - 31.7,23.1 - 25.6
Symptoms of Depressive Disorder,Arkansas,05/07/2020,05/12/2020,24.5,19.2,30.5,19.2 - 30.5,23.1 - 25.6
Symptoms of Depressive Disorder,California,05/07/2020,05/12/2020,22.8,19.2,26.8,19.2 - 26.8,20.7 - 23.0
Symptoms of Depressive Disorder,Colorado,05/07/2020,05/12/2020,23.6,17.8,30.2,17.8 - 30.2,23.1 - 25.6
Symptoms of Depressive Disorder,Connecticut,05/07/2020,05/12/2020,21.5,16.2,27.6,16.2 - 27.6,20.7 - 23.0
Symptoms of Depressive Disorder,Delaware,05/07/2020,05/12/2020,23.3,18.3,28.9,18.3 - 28.9,23.1 - 25.6
Symptoms of Depressive Disorder,District of Columbia,05/07/2020,05/12/2020,30.3,22.8,38.6,22.8 - 38.6,25.7 - 35.5
Symptoms of Depressive Disorder,Florida,05/07/2020,05/12/2020,24.8,20.0,30.0,20.0 - 30.0,23.1 - 25.6
Symptoms of Depressive Disorder,Georgia,05/07/2020,05/12/2020,25.6,20.7,30.9,20.7 - 30.9,23.1 - 25.6
Symptoms of Depressive Disorder,Hawaii,05/07/2020,05/12/2020,16.8,12.1,22.4,12.1 - 22.4,16.7 - 20.6
Symptoms of Depressive Disorder,Idaho,05/07/2020,05/12/2020,17.0,13.2,21.5,13.2 - 21.5,16.7 - 20.6
Symptoms of Depressive Disorder,Illinois,05/07/2020,05/12/2020,29.2,25.2,33.5,25.2 - 33.5,25.7 - 35.5
Symptoms of Depressive Disorder,Indiana,05/07/2020,05/12/2020,19.9,14.8,25.8,14.8 - 25.8,16.7 - 20.6
Symptoms of Depressive Disorder,Iowa,05/07/2020,05/12/2020,18.1,12.9,24.2,12.9 - 24.2,16.7 - 20.6
Symptoms of Depressive Disorder,Kansas,05/07/2020,05/12/2020,16.7,12.8,21.2,12.8 - 21.2,16.7 - 20.6
Symptoms of Depressive Disorder,Kentucky,05/07/2020,05/12/2020,25.6,19.8,32.2,19.8 - 32.2,23.1 - 25.6
Symptoms of Depressive Disorder,Louisiana,05/07/2020,05/12/2020,30.0,23.2,37.5,23.2 - 37.5,25.7 - 35.5
Symptoms of Depressive Disorder,Maine,05/07/2020,05/12/2020,17.1,12.2,23.0,12.2 - 23.0,16.7 - 20.6
Symptoms of Depressive Disorder,Maryland,05/07/2020,05/12/2020,24.6,18.3,31.8,18.3 - 31.8,23.1 - 25.6
Symptoms of Depressive Disorder,Massachusetts,05/07/2020,05/12/2020,18.9,15.2,23.0,15.2 - 23.0,16.7 - 20.6
Symptoms of Depressive Disorder,Michigan,05/07/2020,05/12/2020,23.4,18.8,28.4,18.8 - 28.4,23.1 - 25.6
Symptoms of Depressive Disorder,Minnesota,05/07/2020,05/12/2020,18.4,13.8,23.9,13.8 - 23.9,16.7 - 20.6
Symptoms of Depressive Disorder,Mississippi,05/07/2020,05/12/2020,35.5,27.5,44.1,27.5 - 44.1,25.7 - 35.5
Symptoms of Depressive Disorder,Missouri,05/07/2020,05/12/2020,24.1,18.5,30.5,18.5 - 30.5,23.1 - 25.6
Symptoms of Depressive Disorder,Montana,05/07/2020,05/12/2020,20.8,14.7,28.2,14.7 - 28.2,20.7 - 23.0
Symptoms of Depressive Disorder,Nebraska,05/07/2020,05/12/2020,21.6,15.4,28.9,15.4 - 28.9,20.7 - 23.0
Symptoms of Depressive Disorder,Nevada,05/07/2020,05/12/2020,31.2,25.4,37.5,25.4 - 37.5,25.7 - 35.5
Symptoms of Depressive Disorder,New Hampshire,05/07/2020,05/12/2020,23.3,18.2,28.9,18.2 - 28.9,23.1 - 25.6
Symptoms of Depressive Disorder,New Jersey,05/07/2020,05/12/2020,26.4,20.3,33.2,20.3 - 33.2,25.7 - 35.5
Symptoms of Depressive Disorder,New Mexico,05/07/2020,05/12/2020,29.0,20.8,38.3,20.8 - 38.3,25.7 - 35.5
Symptoms of Depressive Disorder,New York,05/07/2020,05/12/2020,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5
Symptoms of Depressive Disorder,North Carolina,05/07/2020,05/12/2020,20.2,15.6,25.5,15.6 - 25.5,16.7 - 20.6
Symptoms of Depressive Disorder,North Dakota,05/07/2020,05/12/2020,20.2,13.9,27.9,13.9 - 27.9,16.7 - 20.6
Symptoms of Depressive Disorder,Ohio,05/07/2020,05/12/2020,26.4,21.3,32.1,21.3 - 32.1,25.7 - 35.5
Symptoms of Depressive Disorder,Oklahoma,05/07/2020,05/12/2020,20.7,15.4,26.9,15.4 - 26.9,20.7 - 23.0
Symptoms of Depressive Disorder,Oregon,05/07/2020,05/12/2020,17.8,13.7,22.6,13.7 - 22.6,16.7 - 20.6
Symptoms of Depressive Disorder,Pennsylvania,05/07/2020,05/12/2020,23.0,18.8,27.8,18.8 - 27.8,20.7 - 23.0
Symptoms of Depressive Disorder,Rhode Island,05/07/2020,05/12/2020,22.8,15.3,31.9,15.3 - 31.9,20.7 - 23.0
Symptoms of Depressive Disorder,South Carolina,05/07/2020,05/12/2020,25.6,20.6,31.1,20.6 - 31.1,23.1 - 25.6
Symptoms of Depressive Disorder,South Dakota,05/07/2020,05/12/2020,20.5,13.5,29.2,13.5 - 29.2,16.7 - 20.6
Symptoms of Depressive Disorder,Tennessee,05/07/2020,05/12/2020,21.7,15.2,29.5,15.2 - 29.5,20.7 - 23.0
Symptoms of Depressive Disorder,Texas,05/07/2020,05/12/2020,25.7,21.8,30.0,21.8 - 30.0,25.7 - 35.5
Symptoms of Depressive Disorder,Utah,05/07/2020,05/12/2020,22.6,17.9,27.8,17.9 - 27.8,20.7 - 23.0
Symptoms of Depressive Disorder,Vermont,05/07/2020,05/12/2020,26.8,20.4,34.1,20.4 - 34.1,25.7 - 35.5
Symptoms of Depressive Disorder,Virginia,05/07/2020,05/12/2020,20.6,16.4,25.4,16.4 - 25.4,16.7 - 20.6
Symptoms of Depressive Disorder,Washington,05/07/2020,05/12/2020,22.9,19.4,26.6,19.4 - 26.6,20.7 - 23.0
